name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
标枪 ASM 发射器,ii_javelin,1,,1300,1500,,1000,,25,10,7,9,,,HIGH_EXPLOSIVE,0,,0,9,3,0.5,0,0,0,,,175,150,16,425,,,DO_NOT_AIM,"strike13, missile10, ii_wpn_bp, merc",,星际帝国,,终结打击,较慢,很差,,,,,,,TRUE,7662
芬德 MLRS,ii_fundae_m,2,0.5,2400,900,,40,,4,20,12,210,,,HIGH_EXPLOSIVE,0,,0,9.35,14,0.05,4,4,0,0,,400,600,4.5,30,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility16, missile5, ii_wpn_bp, merc",,星际帝国,,反战机 (范围),较快,优秀,,,对附近的舰船、战机与导弹造成最多额外{%s}的破片伤害。,175,,,,7660
重型弩炮发射器,ii_heavyballista,2,0.7,7500,6000,,225,,10,5,24,90,0.4,6,HIGH_EXPLOSIVE,0,,0,5.5,6,0.5,0,0,0,0,,150,50,50,50,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility23, missile12, ii_rare_bp, rare_bp, hist1t, merc",,星际帝国,,远程支援,较慢 / 较快,较差,,,击中船体或装甲时有{%s}几率造成额外{%s}高爆伤害,50% | 350,与目标较近时将提高速度，如若未命中目标，则迅速失去动力。,,,7663
天蝎标枪发射器,ii_javelinlarge,1,,4000,1500,,1000,,25,15,16,24,,,HIGH_EXPLOSIVE,0,,0,10.5,6,0.3,0,0,0,,,175,250,16,425,,,DO_NOT_AIM,"strike17, missile15, ii_rare_bp, rare_bp, merc",,星际帝国,,终结打击,较慢,很差,,,,,,,TRUE,7664
弩炮 MIRV 发射器,ii_onager,3,0.3,7000,2500,,2000,,50,10,26,14,,,HIGH_EXPLOSIVE,0,,0,15,1,,0,0,0,0,,150,100,24,1200,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility22, strike12, missile7, ii_rare_bp, rare_bp, hist1t, merc",,星际帝国,,反航母,非常慢,较差,,,能分裂出{%s}枚子母弹，造成{%s}高爆伤害，并对附近的舰船、战机与导弹造成最多额外{%s}的破片伤害。,36 | 40 | 175,,,,7660
脉冲加农炮,ii_pulsar,1,,350,400,,60,,10,40,5,9,2,3,HIGH_EXPLOSIVE,22,,0,0.55,3,0.15,8,8,0,8,,450,,,20,,,USE_LESS_VS_SHIELDS,"he7, SR, ii_wpn_bp, merc",,星际帝国,,反装甲,,,,,,,,,,7665
捍卫者激光炮,ii_custos,2,,450,300,250,,,0,100,6,,,,FRAGMENTATION,,85,0,0.1,,,,,,,10000,,,,,,,PD,"pd9, beam4, SR, ii_wpn_bp, merc",,星际帝国,,点防御,,,,,,,,,,7669
粒子枪,ii_particlegun,0,,100,350,,50,,2,75,2,,,,FRAGMENTATION,12,,0,0.8,3,0.2,0,6,1,6,,1500,,,5,,,PD,"pd5, SR, ii_common_bp, ii_wpn_bp, ind",,星际帝国,,点防御,,,,,,,,,,7670
ER 粒子加农炮,ii_particlecannon,3,0.5,600,1000,,130,,2,15,8,,,,FRAGMENTATION,40,,0.4,1.2,5,0.1,0,6,0.5,2,,1500,,,5,,,,"energy10, LR, ii_rare_bp, merc",,星际帝国,,压制,,,,,,,,,,7671
脉冲速射炮,ii_pulsarrepeater,1,,1200,450,,60,,10,20,9,30,4,1,HIGH_EXPLOSIVE,22,,0,0.15,1,,5,15,1,5,,450,,,20,,,"USE_LESS_VS_SHIELDS, PD, PD_ALSO","he15, pd11, SR, ii_wpn_bp, merc",,星际帝国,,反装甲 (点防御),,,,,当攻击范围内没有其它目标时会瞄准导弹。,,,,,7666
重型脉冲加农炮,ii_heavypulsar,2,,2200,600,,100,,20,15,12,12,1.5,3,HIGH_EXPLOSIVE,60,,0,0.6,3,0.2,8,8,0,8,,500,,,40,,,USE_LESS_VS_SHIELDS,"he16, ii_wpn_bp, merc",,星际帝国,,反装甲,,,,,,,,,,7667
重型脉冲激光炮,ii_heavypulselaser,2,,2400,600,,200,,0,12,12,,,,ENERGY,200,,0.5,0,,,0,0,0,,,1000,,,20,,,,"energy14, ii_wpn_bp, merc",,星际帝国,,普通,,,,,,,,,,7668
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄之死亡,ii_croceamors,3,,8000,1250,,1500,,250,0,30,,,,ENERGY,2500,,1,9,1,,0,0,0,0,,2000,,,400,,,"SYSTEM, SHOW_IN_CODEX, STRIKE",,ii_special_only,星际帝国,,打击,,,,,,,,,,7669
天启导弹,ii_apocalypse_mirv,2,,,10000,,400,,10,0,80,72,1.2,,HIGH_EXPLOSIVE,40,,0,7.7,24,0.1,0,0,0,0,,300,600,35,100,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE",,,星际帝国,,,,,,,,,,,,7670
芬德阵列,ii_fundae_mirv,2,,,2000,,40,,4,0,40,144,2.4,,HIGH_EXPLOSIVE,10,,0,7.65,48,0.05,6,6,0,0,,400,800,8,30,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE",,,星际帝国,,,,,,,对附近的舰船、战机与导弹造成最多额外{%s}的破片伤害。,,,,,7660
粒子枪,ii_particlegun_f,0,,,350,,60,,2,75,,,,,FRAGMENTATION,10,,0,0.45,4,0.15,0,2,0.5,2,,1500,,,5,,,"SYSTEM, PD",,,星际帝国,,点防御,,,,,,,,,,7671
粒子速射炮,ii_particlerepeater,0,,,400,,40,,2,100,,,,,FRAGMENTATION,10,,0,0.2,1,,0,5,1,5,,1500,,,5,,,"SYSTEM, PD",,,星际帝国,,点防御,,,,,,,,,,7673
光子射线炮,ii_photonbeam,2,,7500,1100,2300,,,0,5,28,30,,,ENERGY,,1250,0.8,0.1,0.4,3.5,,,,,50000,,,,,,,"SYSTEM, SHOW_IN_CODEX",,ii_special_only,星际帝国,,普通,,,,,,,,,,7674
光子射线炮 (空间站),ii_photonbeam_station,2,,7500,1100,2300,,,0,10,30,30,0.25,,ENERGY,,1250,0.8,0.1,0.4,3.5,,,,,50000,,,,,,,SYSTEM,,ii_adamas_stuff,星际帝国,,普通,,,,,,,,,,7674
重力光束,ii_gravitycannon,3,,14000,1250,1250,,,0,0,50,,,,ENERGY,,1000,0.5,0.2,,,,,,,10000,,,,,,,"SYSTEM, AUTOZOOM, STRIKE, USE_VS_FRIGATES",,ii_special_only,星际帝国,,远程压制,,,,,可将目标推开。,,,,,7675
天启发射器,ii_armageddon,2,,4000,1750,,350,,10,0,16,20,0.2,,HIGH_EXPLOSIVE,100,,0,7.2,5,0.2,0,0,0,0,,200,300,12,75,,,"SYSTEM, SHOW_IN_CODEX, DO_NOT_AIM, CONSERVE_1",,ii_special_only,星际帝国,,压制,较慢,良好,,,使用{%s}后，所发射的导弹特性将会暂时发生改变。,万能齐射,,,,7677
天启发射器 (空间站),ii_armageddon_station,2,,4000,1750,,350,,10,0,16,20,0.2,,HIGH_EXPLOSIVE,50,,0,7.2,5,0.2,0,0,0,0,,200,300,12,75,,,"SYSTEM, SHOW_IN_CODEX, DO_NOT_AIM, CONSERVE_1",,ii_special_only,星际帝国,,压制,较慢,良好,,,使用{%s}后，所发射的导弹特性将会暂时发生改变。,万能齐射,,,,7677
勒克斯速射炮,ii_lux_fighter,3,,,600,,40,,1,15,,,,,HIGH_EXPLOSIVE,30,,0,1,7,0.15,0,10,1,5,,1000,,,10,,,SYSTEM,,,星际帝国,,反装甲,,,,,,,,,,7680
脉冲炸弹,ii_pulsarbomb,2,,,750,,750,,100,0,,1,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,200,50,5,150,,,"SYSTEM, STRIKE, BOMB",,,星际帝国,,打击,很慢,无,,,分裂成{%s}簇能量脉冲，造成{%s}高爆伤害。,5 | 200,,,TRUE,7681
光子冲击波,ii_photonblaster_left,3,,3100,700,,175,,50,15,18,,,,ENERGY,200,,0.1875,0.1875,9999,0.375,0,5,1,5,,800,,,75,,,"SYSTEM, SHOW_IN_CODEX",,ii_adamas_stuff,星际帝国,,普通,,,,,{%s}激活时，将被禁用。,光子化,,,,7682
光子冲击波,ii_photonblaster_right,3,,3100,700,,175,,50,15,18,,,,ENERGY,200,,0,0.375,9999,0.375,0,5,1,5,,800,,,50,,,SYSTEM,,ii_adamas_stuff,星际帝国,,普通,,,,,{%s}激活时，将被禁用。,光子化,,,,7683
光之矛,ii_lightspear,3,,11000,800,4250,,,20,0,35,1,,,ENERGY,,2200,1.8,0.3,3.2,15,,,,,6000,,,,,,,"SYSTEM, SHOW_IN_CODEX, DANGEROUS",,ii_adamas_stuff,星际帝国,,打击,,,,,只能在{%s}激活时才能使用，开火时降低速度和机动性，同时降低所受的伤害{%s}。选择安装不同的{%s}会使该武器具有不同的效果。,光子化 | 67% | 帝国强化套件,如果一个或多个{%s}遭到禁用，则降低伤害。开火时取消{%s}或者进入相位会出现故障。,光子冲击波 | 光子化,,7684
光之矛 (空间站),ii_lightspear_station,3,,11000,800,4250,,,20,4,40,1,,,ENERGY,,1750,1.8,0.3,4.7,15,,,,,12000,,,,,,,"SYSTEM, DANGEROUS",,ii_adamas_stuff,星际帝国,,打击,,,,,只能在{%s}激活时才能使用，开火时降低速度和机动性，同时降低所受的伤害{%s}。,光子化 | 67%,如果一个或多个{%s}遭到禁用，则降低伤害。开火时取消{%s}会出现故障。,光子射线炮 | 光子化,,7684
弩炮 LRM 发射器 (单),ii_ballista_f,0,,,1000,,350,,10,20,,1,0.05,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,150,50,20,50,,,"SYSTEM, GUIDED_POOR",,,星际帝国,,反装甲,较慢 / 较快,很差,,,与目标较近时将提高速度，如若未命中目标，则迅速失去动力。,,,,,7685
轻型芬德发射器,ii_fundae_f,1,,,600,,40,,4,40,,4,0.2,2,HIGH_EXPLOSIVE,0,,0,2.95,2,0.05,1,1,0,0,,400,300,3,30,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE",,,星际帝国,,反战机 (范围),较快,良好,,,对附近的舰船、战机与导弹造成最多额外{%s}的破片伤害。,175,,,,7660
短弓自动炮,ii_arcus_f,2,,400,700,,100,,5,30,6,,,,KINETIC,75,,0,1,1,,0,10,2,10,,1200,,,40,,,SYSTEM,,,星际帝国,,反护盾,,,,,,,,,,7672
攻城迫击炮,ii_siegemortar_f,2,,450,800,,150,,8,15,6,,,,HIGH_EXPLOSIVE,115,,0,1.5,1,,0,20,5,10,,500,,,10,,,SYSTEM,,,星际帝国,,反装甲,,,,,,,,,,7673
芬德 SRM (弩炮),ii_fundae_onagersub,3,,,800,,40,,4,0,,,,,HIGH_EXPLOSIVE,0,,0,1,1,,2,2,0,0,,400,100,5,30,,,SYSTEM,,,星际帝国,,,,,,,,,,,,7660
三联光子射线炮,ii_triplepbc,2,,10000,850,1500,,,0,0,36,15,0.45,3,ENERGY,,2100,0.1,0.3,0.4,0.45,,,,,50000,,,,,,,"SYSTEM, SHOW_IN_CODEX",,ii_special_only,星际帝国,,普通,,,,,,,,,,7674
三联光子射线炮 (空间站),ii_triplepbc_station,2,,10000,850,2500,,,0,0,30,,,,ENERGY,,3500,0.1,0.3,0.65,2.7,,,,,50000,,,,,,,SYSTEM,,ii_special_only,星际帝国,,普通,,,,,,,,,,7674
帕特拉冲击波,ii_patella,2,,2800,450,,100,400,0,0,15,,,,ENERGY,150,,0,0.333333333,1,,0,15,1,3,,1000,,,,,,"SYSTEM, SHOW_IN_CODEX, FIRE_WHEN_INEFFICIENT",,ii_special_only,星际帝国,,压制,,,,,击中船体或装甲产生攻击武器和引擎的电弧，造成等同于原伤害的额外伤害。击中护盾则根据目标硬幅能水平几率产生穿盾电弧。,,,,,7675
泰坦,ii_titan_w,4,,60000,5000,,200000,,20,0,160,1,,,HIGH_EXPLOSIVE,500,,1,50,1,,0,0,0,0,,110,0,50,5000,,,"SYSTEM, SHOW_IN_CODEX, DO_NOT_AIM, DO_NOT_CONSERVE",,ii_special_only,星际帝国,,战略打击,非常慢,很差,,,使用后将降低{%s}的战备值。实际降低的数值将根据本舰所安装的{%s。,30% | 帝国强化套件,即便安装了{%s，最大备弹量也不会超过{%s。,扩展发射架 | 一枚,TRUE,7657
巨型冲击波,ii_magna_fulmen,3,,9500,1000,,1000,,150,0,35,,,,ENERGY,1150,,0.2,7.8,1,,0,0,0,0,,1500,,,250,,,"SYSTEM, SHOW_IN_CODEX, DANGEROUS",,ii_special_only,星际帝国,,普通,,,,,武器特性取决于本舰所安装的{%s。,帝国强化套件,,,,7669
铁矛导弹,ii_javelin_f,2,,,1200,,1100,,50,30,,1,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,,,200,300,10,475,,,"SYSTEM, GUIDED_POOR, STRIKE",,,星际帝国,,终结打击,较慢,较差,,,,,,,TRUE,7658
保卫者 (战机),ii_custos_f,2,,,300,250,,,0,200,,,,,FRAGMENTATION,,100,0,0.1,,,,,,,10000,,,,,,,"SYSTEM, PD, FIRE_WHEN_INEFFICIENT",,,星际帝国,,点防御,,,,,,,,,,7669
大锤迫击炮 (战机),ii_sledgegun_f,2,,,1000,,65,,20,15,,,,,HIGH_EXPLOSIVE,80,,0,1,1,,0,5,1,5,,1000,,,50,,,"SYSTEM, FIRE_WHEN_INEFFICIENT",,,星际帝国,,压制,,,,,击中船体或装甲时有{%s}几率造成{%s}额外高爆伤害。,50% | 30,,,,7650
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulsar Bomb Pulse,ii_pulsarbomb_pulse,2,,,500,,200,,40,0,,,,,HIGH_EXPLOSIVE,0,,0,10,1,,8,8,0,0,,300,,,100,,,SYSTEM,,,,,,,,,,,,,,,7689
Ballista Stage 2,ii_ballista_stage2,0,,,1400,,225,,10,20,,,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,400,50,4.5,50,,,SYSTEM,,,,,,,,,,,,,,,7690
Armageddon (Normal),ii_armageddon_normal,2,,,1750,,350,,10,0,,,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,200,300,13,75,,,SYSTEM,,,,,,,,,,,,,,,7677
Armageddon (Enhanced),ii_armageddon_standard,2,,,1750,,350,,10,0,,,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,300,200,7.5,100,,,SYSTEM,,,,,,,,,,,,,,,7677
Armageddon (Armor-Enhanced),ii_armageddon_armor,2,,,1750,,350,,10,0,,,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,175,175,10,200,,,SYSTEM,,,,,,,,,,,,,,,7677
Armageddon (Targeting-Enhanced),ii_armageddon_targeting,2,,,1750,,350,,10,0,,,,,KINETIC,0,,0,10,1,,0,0,0,0,,600,100,5,150,,,SYSTEM,,,,,,,,,,,,,,,7677
Armageddon (Elite-Enhanced),ii_armageddon_elite,2,,,1750,,350,700,15,0,,,,,ENERGY,0,,0,10,1,,0,0,0,0,,400,400,9,100,,,SYSTEM,,,,,,,,,,,,,,,7677
Magna Fulmen (Standard),ii_magna_fulmen_standard,3,,,1000,,1000,,150,0,,,,,ENERGY,0,,0,10,1,,0,0,0,0,,1500,,,250,,,SYSTEM,,,,,,,,,,,,,,,7669
Magna Fulmen (Armor-Standard),ii_magna_fulmen_standard_armor,3,,,1000,,1000,,150,0,,,,,ENERGY,0,,0,10,1,,0,0,0,0,,1500,,,250,,,SYSTEM,,,,,,,,,,,,,,,7669
Magna Fulmen (Targeting-Standard),ii_magna_fulmen_standard_targeting,3,,,1000,,1000,,150,0,,,,,ENERGY,0,,0,10,1,,0,0,0,0,,1500,,,250,,,SYSTEM,,,,,,,,,,,,,,,7669
Magna Fulmen (Elite-Standard),ii_magna_fulmen_standard_elite,3,,,1000,,1000,1000,150,0,,,,,ENERGY,0,,0,10,1,,0,0,0,0,,1500,,,250,,,SYSTEM,,,,,,,,,,,,,,,7669
Magna Fulmen (Armor-Enhanced),ii_magna_fulmen_enhanced_armor,3,,,1000,,250,,50,0,,,,,ENERGY,0,,0,10,1,,0,0,0,0,,1500,,,100,,,SYSTEM,,,,,,,,,,,,,,,7669
Magna Fulmen (Targeting-Enhanced),ii_magna_fulmen_enhanced_targeting,3,,,1000,,1500,,1000,0,,,,,ENERGY,0,,0,10,1,,0,0,0,0,,750,,,500,,,SYSTEM,,,,,,,,,,,,,,,7669
Magna Fulmen (Elite-Enhanced x1),ii_magna_fulmen_enhanced_elite1,3,,,1000,,1500,1400,300,0,,,,,ENERGY,0,,0,10,1,,0,0,0,0,,1600,,,375,,,SYSTEM,,,,,,,,,,,,,,,7669
Magna Fulmen (Elite-Enhanced x2),ii_magna_fulmen_enhanced_elite2,3,,,1000,,2000,2000,450,0,,,,,ENERGY,0,,0,10,1,,0,0,0,0,,1700,,,500,,,SYSTEM,,,,,,,,,,,,,,,7669
Magna Fulmen (Elite-Enhanced x3),ii_magna_fulmen_enhanced_elite3,3,,,1000,,2500,2500,600,0,,,,,ENERGY,0,,0,10,1,,0,0,0,0,,1800,,,625,,,SYSTEM,,,,,,,,,,,,,,,7669
Magna Fulmen (Elite-Enhanced x4),ii_magna_fulmen_enhanced_elite4,3,,,1000,,3000,3000,750,0,,,,,ENERGY,0,,0,10,1,,0,0,0,0,,1900,,,750,,,SYSTEM,,,,,,,,,,,,,,,7669
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma Core,ii_photonbeam_core,,,,500,,300,,,,,,,,ENERGY,0,,0,0,1,,0,0,0,0,,50,50,5,200,,,SYSTEM,,,,,,,,,,,,,,,7692
Titan (Armor) Door,ii_titan_armor_door,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Titan (Targeting) Door,ii_titan_targeting_door,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Titan Lights,ii_titan_lights,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Titan (Armor) Lights,ii_titan_armor_lights,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Titan (Targeting) Lights,ii_titan_targeting_lights,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Titan (Elite) Lights,ii_titan_elite_lights,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Titan (Targeting) Door Lights,ii_titan_targeting_door_lights,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Titan Deco,ii_titan_deco,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Blinker 1 (Targeting),ii_targeting_blinker1,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Blinker 2 (Targeting),ii_targeting_blinker2,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Blinker 3 (Targeting),ii_targeting_blinker3,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Blinker 4 (Targeting),ii_targeting_blinker4,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Adamas Lights (Elite),ii_elite_lights_adamas,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Ardea Lights (Elite),ii_elite_lights_ardea,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Barrus Lights (Elite),ii_elite_lights_barrus,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Basileus Lights (Elite),ii_elite_lights_basileus,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Caesar Lights (Elite),ii_elite_lights_caesar,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Carrum Lights (Elite),ii_elite_lights_carrum,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Decurion Lights (Elite),ii_elite_lights_decurion,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Dictator Lights (Elite),ii_elite_lights_dictator,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Dominus Lights (Elite),ii_elite_lights_dominus,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Interrex Lights (Elite),ii_elite_lights_interrex,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Triarius Lights (Elite),ii_elite_lights_triarius,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Ixon Lights (Elite),ii_elite_lights_ixon,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Legionary Lights (Elite),ii_elite_lights_legionary,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Libritor Lights (Elite),ii_elite_lights_libritor,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Lynx Lights (Elite),ii_elite_lights_lynx,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Matriarch Lights (Elite),ii_elite_lights_matriarch,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Maximus Lights (Elite),ii_elite_lights_maximus,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
